name,life_expectancy,wage_ratio
Belarus,70.9218,1.3537735849056605
Indonesia,68.2261,1.2959946552663621
Mexico,74.1524,1.2106087961739087
Paraguay,71.3838,1.0557316679279989
Philippines,70.5638,1.0022176450695053
Singapore,81.1698,1.368547418967587
Sri Lanka,71.7288,1.241021091491858
Sweden,81.1371,1.1232339089481946
Ukraine,69.1168,1.329584017689953
United Kingdom,79.6652,1.2779043280182232
