"Country or Area","Year(s)","Variant","Value"
"Belarus","2008","Medium","70.9218"
"Indonesia","2008","Medium","68.2261"
"Mexico","2008","Medium","74.1524"
"Paraguay","2008","Medium","71.3838"
"Philippines","2008","Medium","70.5638"
"Singapore","2008","Medium","81.1698"
"Sri Lanka","2008","Medium","71.7288"
"Sweden","2008","Medium","81.1371"
"Ukraine","2008","Medium","69.1168"
"United Kingdom","2008","Medium","79.6652"

